retreat_name,location,min_price_usd,max_price_usd,duration_days,classes_codes,meals_included,accommodation_score,interested,review_score,number_of_reviews
8 day reconnect with inner truth retreat in Tenerife.,Island,1374.0,1913.0,8,"1,2,3",3,3,69,4.75,26
3 Day Sacred San Pedro Ceremony & Integration Retreat in Spain,Nature,344.0,344.0,3,"1,3,4",3,2,32,5.0,9
"3 Day Relax, Healthy, Holidays & Yoga Retreat in Spain",Nature,344.0,692.0,3,"1,2,3",3,4,14,4.96,48
7 day “Roots to the Heart” Breathwork Retreat in Tenerife,Island,1803.0,2060.0,7,"1,2,3",3,3,34,4.96,43
"5 day Yogi Heartful Living Retreat in El Brosquil Beach, Spain",Nature,717.0,893.0,5,"1,2,3",3,3,27,4.85,33
"2 Day Ayahuasca Premium Retreat: Small Group in Barcelona, Spain",City,232.0,232.0,2,4,2,1,34,5.0,1
"6 Day Yoga Retreat with FREE Island Excursions in Tenerife, Spain",Island,1042.0,2192.0,6,"1,2",3,3,18,4.9,23
7 day Selflove & Surrender Retreat in Valencia,Nature,870.0,1101.0,7,"1,2,3,4",3,4,57,4.9,2
6 Day Refreshing Seaside Yoga Retreat,Nature,928.0,1577.0,6,1,3,4,3,4.71,339
"8 Day Yoga, E-biking & Hiking Holiday,",Island,1612.0,2887.0,8,"1,5",0,2,11,4.92,107
"6 Day Balanced Surf & Yoga Retreat in Fuerteventura, Spain",Island,1229.0,1772.0,6,"1,5",3,3,2,4.98,107
"4 Day Life Makeover and Yoga Retreat in Alicante, Spain",Nature,557.0,946.0,4,"1,2",3,4,9,4.71,339
"3 Day Ayahuasca Retreat in Madrid, Spain",City,580.0,580.0,3,4,3,1,30,4.92,30
3 Day Shamanic Breathwork Weekend Retreat in Spain,Nature,811.0,811.0,3,3,3,2,9,4.91,32
"3 Day Transformative Yoga & Healing Experience, Barcelona, Spain",City,313.0,721.0,3,"1,2,3",2,3,14,4.85,8
"8 Day Holistic Yoga Retreat, Fuerteventura, Canary Islands Spain",Island,1136.0,1177.0,8,1,2,2,3,3.98,5
"3 Day Juice Detox Retreat: Yoga & Hiking near Barcelona, Spain",Nature,463.0,533.0,3,1,0,2,2,4.73,12
"5 Day Active Holidays w/ Yoga & Hiking in Fuerteventura, Spain",Island,1148.0,2539.0,5,"1,5",0,2,15,4.92,107
"3 Day “Rest, Reconnect, Rewild in Nature” Retreat in Spain",Nature,186.0,244.0,3,0,1,2,40,4.93,10
"4 Day Burnout Recovery Retreat in Catalonia´s Forest Hills, Spain",Nature,829.0,904.0,4,"1,2,3",3,2,11,4.93,10
"4 day Ayahuasca Retreat with Natura & Yoga in Malaga, Spain",Nature,841.0,1009.0,4,4,2,3,6,4.5,3
"7 Day Chakra Bliss Yoga Retreat near Barcelona, Spain",City,811.0,1557.0,7,"1,2,3",2,3,6,4.85,8
"6 Day Yoga, Sound Healing & Hiking in Tenerife, Spain",Island,1148.0,1797.0,6,"1,2,3,5",3,3,16,4.71,8
6 Day Couples Yoga & Healing Retreat by the Sea in Mallorca,Island,2029.0,2029.0,6,"1,2,3,5",2,1,2,5.0,3
"(3D) Urban Yoga Retreat in Barcelona City, Spain",City,301.0,475.0,3,"1,2",1,3,8,4.78,70
"7 Day Luxury Escape: Yoga, Dance & Hike in Andalucia, Spain",Nature,2145.0,3131.0,7,"1,5",3,4,0,,0
"7 Day Yoga & Wellness Retreat: Chakra, Detox & Mindfulness, Spain",Nature,557.0,939.0,7,"1,2",3,4,42,4.96,49
"3 Day All Inclusive Retreat: Detox, Meditation, Workouts, Spain",Nature,557.0,557.0,3,"2,5",3,2,10,5.0,6
"5 Day Pilates & Wellness Relaxation Break in Tenerife, Spain",Island,1264.0,1664.0,5,5,1,3,8,4.71,23
"5 Day Women´s Camino Yoga & Hiking Holiday in Costa Blanca, Spain",Nature,2666.0,2666.0,5,"1,5",3,2,6,5.0,4
"(4D) Urban Yoga Retreat in Barcelona City, Spain",City,452.0,765.0,4,1,1,3,13,4.78,70
"8 Day Yoga & Pilates Retreat in the Canary Islands, Spain",Island,1623.0,1913.0,8,"1,5",2,2,8,4.94,12
"6 Day Flexible Yoga Holidays on Canary Islands, Gran Canaria",Island,765.0,1275.0,6,"1,2",0,2,0,4.41,7
"8 Day Flexible Yoga Holidays on Canary Islands, Gran Canaria",Island,981.0,1695.0,8,"1,2",0,2,4,5.0,10
"6 Day Yoga, Sound Healing & Reiki Retreat, Fuerteventura, Spain",Island,1102.0,1594.0,6,"1,4",3,3,2,4.98,51
"4 Day Yoga, Meditation & Breathwork Wellness Retreat in Spain",Nature,700.0,1800.0,4,"1,2,3",3,3,0,,0
"5 Day Yoga & Wellness Women´s Retreat in Andalusia, Spain",Nature,2021.0,2686.0,5,1,2,3,3,5.0,15
"5 Day New Year´s Retreat: Manifest and Flow, Mallorca, Spain",Nature,1449.0,2609.0,5,"1,2,3",2,3,8,5.0,33
"5 Day The Divine Femininity Retreat in Malaga, Spain",City,1984.0,2391.0,5,"3,4",3,3,6,5.0,2
"6 Day Yoga and Meditation Retreat in Valencia, Spain",Nature,806.0,2313.0,6,"1,2",3,4,6,5.0,14
"6 Day Yoga & Cultural Immersion Retreat in Granada, Spain",City,1913.0,2319.0,6,"1,2,3",2,3,0,5.0,3
"4 Day Oh´gasmic Women´s Tantric Yoga & Art Retreat, Spain",City,1102.0,1102.0,4,"1,2,3,4",3,3,14,5.0,3
"7 Day Surfing & Yoga Retreat in Famara, Lanzarote, Spain",Island,487.0,626.0,7,"1,5",0,3,4,4.87,305
"7 Day Tailored Ayurvedic Rejuvenation Program in Malaga, Spain",Nature,2696.0,3131.0,7,1,3,2,11,4.99,61
"4 Day Ayahuasca Retreat in Tenerife, Canary Islands",Island,1026.0,1200.0,4,4,2,3,20,4.89,14
"4 Day Inside Out: Yoga & Nature Drawing in Malaga, Spain",Nature,522.0,522.0,4,"1,2,3,5",3,4,2,5.0,2
6 Day Sound & Nature Retreat for Families with Kids in Spain,Nature,406.0,754.0,6,"1,2",3,1,2,,0
"7 Day Somatic Yoga Retreat in Andalucia, Spain",City,1305.0,1798.0,7,"1,2,3",3,3,0,5.0,7
